Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/infer [heavy],9,0,65000,61048.64463333353,168.9182999980403,109904.77340000143,1382.6666666666667,0.051227105939862946,0.0,65000,88000,106000,107000,110000,110000,110000,110000,110000,110000,110000
POST,/infer [normal],21,0,54000,55244.78849047643,20.990000000892906,110066.2725000002,904.3333333333334,0.1195299138596802,0.0,54000,92000,100000,106000,108000,108000,110000,110000,110000,110000,110000
POST,/infer [unique],14,0,20000,47405.615057142975,23.81460000106017,107616.3661999999,958.9285714285714,0.07968660923978681,0.0,58000,77000,105000,106000,106000,108000,108000,108000,108000,108000,108000
,Aggregated,44,0,54000,53937.65842727293,20.990000000892906,110066.2725000002,1019.5454545454545,0.25044362903933,0.0,58000,92000,106000,106000,108000,108000,110000,110000,110000,110000,110000
