Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/infer [heavy],379,0,180,222.84607255975268,11.236100006499328,754.4121000100859,705.023746701847,6.39461249683179,0.0,180,230,270,290,480,630,740,750,750,750,750
POST,/infer [normal],3155,0,77,117.9818675434466,9.977499998058192,985.4751999955624,704.3549920760697,53.23219637863931,0.0,77,110,140,160,270,380,540,710,880,990,990
,Aggregated,3534,0,83,129.22791556302215,9.977499998058192,985.4751999955624,704.4267119411431,59.6268088754711,0.0,83,120,160,180,290,410,580,740,880,990,990
