Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/infer [heavy],379,0,220,262.0899981534121,11.111300002085045,1537.269099993864,679.88654353562,6.372946437307213,0.0,220,310,360,390,480,560,660,1500,1500,1500,1500
POST,/infer [normal],3062,0,82,144.40183474851818,9.962800002540462,1876.345399999991,708.3406270411496,51.4880263615691,0.0,82,130,170,200,320,430,640,1300,1800,1900,1900
,Aggregated,3441,0,91,157.36429157224816,9.962800002540462,1876.345399999991,705.2066259808196,57.86097279887631,0.0,91,140,200,230,360,460,640,1300,1800,1900,1900
