Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/infer [heavy],42,0,61,500.2522095227115,10.829599996213801,3567.9845999984536,751.7857142857143,1.4374690940596164,0.0,62,64,76,190,2300,3000,3600,3600,3600,3600,3600
POST,/infer [normal],267,0,61,212.87238988831328,11.620400007814169,2822.7475000021514,636.8239700374531,9.138196383664704,0.0,61,65,70,75,120,1800,2400,2500,2800,2800,2800
,Aggregated,309,0,61,251.9337245959014,10.829599996213801,3567.9845999984536,652.4498381877023,10.57566547772432,0.0,61,65,70,76,190,2200,2500,2800,3600,3600,3600
